State,District,Median Income,College%
Alabama,Congressional District 1 (119th Congress),49319,17.0
Alabama,Congressional District 2 (119th Congress),42547,25.5
Alabama,Congressional District 3 (119th Congress),46640,29.2
Alabama,Congressional District 4 (119th Congress),45846,16.5
Alabama,Congressional District 5 (119th Congress),52480,26.4
Alabama,Congressional District 6 (119th Congress),56438,16.4
Alabama,Congressional District 7 (119th Congress),43316,30.1
Alaska,Congressional District (at Large) (119th Congress),57273,19.4
Arizona,Congressional District 1 (119th Congress),66283,23.2
Arizona,Congressional District 2 (119th Congress),47248,26.8
Arizona,Congressional District 3 (119th Congress),44208,23.8
Arizona,Congressional District 4 (119th Congress),54398,40.2
Arizona,Congressional District 5 (119th Congress),66254,21.5
Arizona,Congressional District 6 (119th Congress),51554,29.1
Arizona,Congressional District 7 (119th Congress),41430,27.3
Arizona,Congressional District 8 (119th Congress),52131,22.0
Arizona,Congressional District 9 (119th Congress),51412,17.2
Arkansas,Congressional District 1 (119th Congress),41513,14.6
Arkansas,Congressional District 2 (119th Congress),50924,18.0
Arkansas,Congressional District 3 (119th Congress),50212,21.9
Arkansas,Congressional District 4 (119th Congress),41077,17.9
California,Congressional District 1 (119th Congress),46834,25.9
California,Congressional District 2 (119th Congress),59411,28.1
California,Congressional District 3 (119th Congress),68925,20.4
California,Congressional District 4 (119th Congress),61225,36.0
California,Congressional District 5 (119th Congress),60690,23.6
California,Congressional District 6 (119th Congress),55191,24.5
California,Congressional District 7 (119th Congress),56594,25.6
California,Congressional District 8 (119th Congress),55685,26.4
California,Congressional District 9 (119th Congress),52047,20.2
California,Congressional District 10 (119th Congress),88244,20.2
California,Congressional District 11 (119th Congress),101122,38.4
California,Congressional District 12 (119th Congress),70648,36.1
California,Congressional District 13 (119th Congress),40627,16.7
California,Congressional District 14 (119th Congress),76043,25.5
California,Congressional District 15 (119th Congress),76517,28.9
California,Congressional District 16 (119th Congress),100572,31.7
California,Congressional District 17 (119th Congress),104166,29.7
California,Congressional District 18 (119th Congress),50268,26.6
California,Congressional District 19 (119th Congress),70502,37.1
California,Congressional District 20 (119th Congress),59035,22.8
California,Congressional District 21 (119th Congress),40378,20.2
California,Congressional District 22 (119th Congress),37764,16.3
California,Congressional District 23 (119th Congress),49592,23.3
California,Congressional District 24 (119th Congress),57312,42.1
California,Congressional District 25 (119th Congress),43052,21.2
California,Congressional District 26 (119th Congress),58310,25.7
California,Congressional District 27 (119th Congress),56302,22.7
California,Congressional District 28 (119th Congress),62285,31.0
California,Congressional District 29 (119th Congress),41883,26.9
California,Congressional District 30 (119th Congress),61942,38.3
California,Congressional District 31 (119th Congress),46708,28.8
California,Congressional District 32 (119th Congress),64245,27.8
California,Congressional District 33 (119th Congress),47070,22.7
California,Congressional District 34 (119th Congress),40915,31.5
California,Congressional District 35 (119th Congress),48969,25.7
California,Congressional District 36 (119th Congress),88946,39.2
California,Congressional District 37 (119th Congress),41244,33.5
